location,daytype,objectids,n_objectids,n_found_in_tc,missing_objectids,traditional_ahead_mean,traditional_behind_mean,traditional_aadt
"IRWINDALE, LOWER AZUSA ROAD/LOS ANGELES STREET [13117,13118]",0: All Days (M-Su),13117|13118,2,2,,,,169500.0
"BALDWIN PARK, JCT. RTE. 10 [13113,13114]",0: All Days (M-Su),13113|13114,2,2,,,,201000.0
"INDUSTRY, VALLEY BOULEVARD [13111,13112]",0: All Days (M-Su),13111|13112,2,2,,,,216000.0
"INDUSTRY, JCT. RTE. 60 [13109,13110]",0: All Days (M-Su),13109|13110,2,2,,,,223000.0
"PICO RIVERA, ROSE HILLS ROAD [13105,13106]",0: All Days (M-Su),13105|13106,2,2,,,,236500.0
"WHITTIER, JCT. RTE. 72 [13101,13102]",0: All Days (M-Su),13101|13102,2,2,,,,225500.0
"NORWALK, IMPERIAL HIGHWAY [13089,13090]",0: All Days (M-Su),13089|13090,2,2,,,,276000.0
"NORWALK, ROSECRANS AVENUE [13085,13086]",0: All Days (M-Su),13085|13086,2,2,,,,280000.0
"NORWALK, ALONDRA BOULEVARD [13084,13083]",0: All Days (M-Su),13084|13083,2,2,,,,279000.0
"CERRITOS, JCT. RTE. 91 [13081,13082]",0: All Days (M-Su),13081|13082,2,2,,,,253000.0
